lat,lon,hour,ping_count
34.75,113.75,23,375370
34.75,113.75,13,519321
34.75,113.75,12,551278
34.75,113.75,17,352806
34.75,113.75,19,315149
34.75,113.75,21,309574
34.75,113.75,6,495113
34.75,113.75,15,456405
34.75,113.75,16,421973
34.75,113.75,14,477222
34.75,113.75,7,581827
34.75,113.75,0,461241
34.75,113.75,8,557776
34.75,113.75,20,300627
34.75,113.75,1,466858
-33.5,143.25,12,3871
-33.5,143.25,0,4467
-33.5,143.25,15,4023
-33.5,143.25,20,3134
-33.5,143.25,7,4811
-33.5,143.25,5,4347
-33.5,143.25,19,5175
-33.5,143.25,23,4670
-33.5,143.25,11,4369
-33.5,143.25,1,3979
-33.5,143.25,13,3491
-33.5,143.25,22,3601
-33.5,143.25,16,4804
-33.5,143.25,6,3559
-33.5,143.25,14,3920
-33.5,143.25,4,5189
-33.5,143.25,9,4275
-33.5,143.25,21,4013
-33.5,143.25,2,5030
-33.5,143.25,10,3879
-33.5,143.25,8,4618
-33.5,143.25,3,3792
-33.5,143.25,17,3923
-33.5,143.25,18,3495
34.75,113.75,3,497815
34.75,113.75,9,519072
34.75,113.75,4,599075
34.75,113.75,18,338754
34.75,113.75,10,497632
34.75,113.75,11,555170
34.75,113.75,5,572386
34.75,113.75,22,278474
35.75,139.75,9,31786
35.75,139.75,7,32574
35.75,139.75,1,33035
35.75,139.75,8,33690
35.75,139.75,23,32615
35.75,139.75,17,28522
35.75,139.75,13,26420
35.75,139.75,15,35068
35.75,139.75,5,32870
35.75,139.75,0,36272
35.75,139.75,22,25421
35.75,139.75,18,29954
35.75,139.75,16,30622
35.75,139.75,6,27215
35.75,139.75,4,39918
35.75,139.75,12,30828
35.75,139.75,20,24049
35.75,139.75,10,28677
35.75,139.75,11,30094
35.75,139.75,2,32838
35.75,139.75,14,36677
35.75,139.75,21,28421
35.75,139.75,19,25574
35.75,139.75,3,34052
34.75,113.75,2,507029
34.5,132.5,1,18
34.5,132.5,2,23
34.5,132.5,7,20
34.5,132.5,0,48
34.5,132.5,18,29
34.5,132.5,6,12
34.5,132.5,4,13
34.5,132.5,10,16
34.5,132.5,16,31
34.5,132.5,20,26
34.5,132.5,23,30
34.5,132.5,13,16
34.5,132.5,21,18
34.5,132.5,12,8
34.5,132.5,11,18
34.5,132.5,14,11
34.5,132.5,8,35
34.5,132.5,3,11
34.5,132.5,5,14
34.5,132.5,22,22
34.5,132.5,15,14
34.5,132.5,9,10
34.5,132.5,17,23
35.5,133.0,0,86
35.5,133.0,1,28
35.5,133.0,5,63
35.5,133.0,16,15
35.5,133.0,8,28
35.5,133.0,12,14
35.5,133.0,17,34
35.5,133.0,15,32
35.5,133.0,11,18
35.5,133.0,14,15
35.5,133.0,18,42
35.5,133.0,10,24
35.5,133.0,4,26
35.5,133.0,22,12
35.5,133.0,2,30
35.5,133.0,19,22
35.5,133.0,13,19
35.5,133.0,7,21
35.5,133.0,23,46
35.5,133.0,20,37
35.5,133.0,6,25
35.5,133.0,21,27
35.5,133.0,9,14
35.5,133.0,3,19
13.75,100.5,5,9238
13.75,100.5,22,5429
13.75,100.5,13,8023
13.75,100.5,23,5829
13.75,100.5,0,6781
13.75,100.5,21,6018
13.75,100.5,17,5965
13.75,100.5,7,7742
13.75,100.5,12,8967
13.75,100.5,16,7605
13.75,100.5,8,8404
13.75,100.5,19,8608
13.75,100.5,10,7939
13.75,100.5,3,7040
13.75,100.5,4,17472
13.75,100.5,6,6562
13.75,100.5,14,7950
13.75,100.5,1,5537
13.75,100.5,18,9134
13.75,100.5,20,6458
13.75,100.5,11,7195
13.75,100.5,9,6502
13.75,100.5,15,10439
13.75,100.5,2,6371
9.75,100.0,9,633
9.75,100.0,8,570
9.75,100.0,13,573
9.75,100.0,22,141
9.75,100.0,17,366
9.75,100.0,23,241
9.75,100.0,16,597
9.75,100.0,10,300
9.75,100.0,4,456
9.75,100.0,1,243
9.75,100.0,15,704
9.75,100.0,0,518
9.75,100.0,5,515
9.75,100.0,6,273
9.75,100.0,19,226
9.75,100.0,20,181
9.75,100.0,21,135
9.75,100.0,14,315
9.75,100.0,12,609
9.75,100.0,11,428
9.75,100.0,18,228
9.75,100.0,2,153
9.75,100.0,3,331
9.75,100.0,7,337
8.0,98.25,2,814
8.0,98.25,7,1074
8.0,98.25,4,782
8.0,98.25,1,475
8.0,98.25,23,360
8.0,98.25,17,338
8.0,98.25,22,208
8.0,98.25,20,263
8.0,98.25,0,1308
8.0,98.25,13,867
8.0,98.25,3,306
8.0,98.25,14,402
8.0,98.25,6,502
8.0,98.25,5,747
8.0,98.25,18,273
8.0,98.25,19,270
8.0,98.25,12,555
8.0,98.25,15,566
8.0,98.25,10,363
8.0,98.25,8,784
8.0,98.25,21,195
8.0,98.25,16,488
8.0,98.25,11,409
8.0,98.25,9,654
14.5,100.5,7,52
14.5,100.5,8,99
14.5,100.5,0,96
14.5,100.5,11,65
14.5,100.5,16,114
14.5,100.5,3,103
14.5,100.5,6,200
14.5,100.5,19,43
14.5,100.5,14,132
14.5,100.5,5,194
14.5,100.5,13,193
14.5,100.5,9,84
14.5,100.5,12,150
14.5,100.5,2,128
14.5,100.5,17,100
14.5,100.5,23,105
14.5,100.5,15,107
14.5,100.5,20,64
14.5,100.5,22,58
14.5,100.5,4,94
14.5,100.5,18,63
14.5,100.5,10,102
14.5,100.5,21,49
14.5,100.5,1,97
17.0,103.0,13,643
17.0,103.0,8,794
17.0,103.0,16,807
17.0,103.0,10,460
17.0,103.0,2,343
17.0,103.0,9,756
17.0,103.0,22,180
17.0,103.0,17,450
17.0,103.0,5,734
17.0,103.0,15,467
17.0,103.0,23,191
17.0,103.0,6,433
17.0,103.0,0,434
17.0,103.0,7,755
17.0,103.0,14,320
17.0,103.0,11,273
17.0,103.0,4,721
17.0,103.0,18,533
17.0,103.0,3,297
17.0,103.0,1,494
17.0,103.0,21,301
17.0,103.0,12,589
17.0,103.0,19,181
17.0,103.0,20,214
6.25,102.0,5,302
6.25,102.0,21,100
6.25,102.0,8,311
6.25,102.0,1,263
6.25,102.0,9,298
6.25,102.0,7,364
6.25,102.0,18,147
6.25,102.0,4,330
6.25,102.0,22,69
6.25,102.0,16,408
6.25,102.0,12,292
6.25,102.0,19,83
6.25,102.0,0,266
6.25,102.0,23,89
6.25,102.0,15,207
6.25,102.0,14,165
6.25,102.0,3,50
6.25,102.0,17,233
6.25,102.0,2,77
6.25,102.0,6,278
6.25,102.0,13,431
6.25,102.0,10,176
6.25,102.0,11,140
6.25,102.0,20,101
9.5,100.0,20,660
9.5,100.0,15,1202
9.5,100.0,4,2161
9.5,100.0,12,1210
9.5,100.0,1,2449
9.5,100.0,5,1680
9.5,100.0,17,1067
9.5,100.0,11,1145
9.5,100.0,0,1027
9.5,100.0,19,772
9.5,100.0,7,1737
9.5,100.0,13,1609
9.5,100.0,9,1767
9.5,100.0,6,1435
9.5,100.0,18,1002
9.5,100.0,8,1812
9.5,100.0,14,1387
9.5,100.0,16,1107
9.5,100.0,21,513
9.5,100.0,23,743
9.5,100.0,2,1438
9.5,100.0,22,846
9.5,100.0,3,1209
9.5,100.0,10,1144
19.0,99.0,19,499
19.0,99.0,13,611
19.0,99.0,10,513
19.0,99.0,4,809
19.0,99.0,16,728
19.0,99.0,3,922
19.0,99.0,23,452
19.0,99.0,9,794
19.0,99.0,7,1087
19.0,99.0,14,944
19.0,99.0,18,944
19.0,99.0,6,894
19.0,99.0,1,1438
19.0,99.0,5,832
19.0,99.0,11,611
19.0,99.0,15,825
19.0,99.0,12,745
19.0,99.0,8,1055
19.0,99.0,2,856
19.0,99.0,22,422
19.0,99.0,17,776
19.0,99.0,21,368
19.0,99.0,0,497
19.0,99.0,20,284
16.0,103.75,18,74
16.0,103.75,6,85
16.0,103.75,7,165
16.0,103.75,14,92
16.0,103.75,23,62
16.0,103.75,16,100
16.0,103.75,22,57
16.0,103.75,19,66
16.0,103.75,5,131
16.0,103.75,17,102
16.0,103.75,20,53
16.0,103.75,0,40
16.0,103.75,12,205
16.0,103.75,2,49
16.0,103.75,15,97
16.0,103.75,1,97
16.0,103.75,13,159
16.0,103.75,9,132
16.0,103.75,3,60
16.0,103.75,11,89
16.0,103.75,21,44
16.0,103.75,4,90
16.0,103.75,8,118
16.0,103.75,10,90
17.5,104.75,21,625
17.5,104.75,19,590
17.5,104.75,23,536
17.5,104.75,12,1374
17.5,104.75,2,737
17.5,104.75,0,613
17.5,104.75,13,981
17.5,104.75,9,1368
17.5,104.75,11,651
17.5,104.75,1,1495
17.5,104.75,10,742
17.5,104.75,16,681
17.5,104.75,20,564
17.5,104.75,17,908
17.5,104.75,18,655
17.5,104.75,8,1236
17.5,104.75,4,1186
17.5,104.75,3,777
17.5,104.75,6,1093
17.5,104.75,22,757
17.5,104.75,5,1208
17.5,104.75,15,803
17.5,104.75,7,1484
17.5,104.75,14,663
17.25,102.25,18,977
17.25,102.25,6,990
17.25,102.25,9,1002
17.25,102.25,12,708
17.25,102.25,20,457
17.25,102.25,10,569
17.25,102.25,15,785
17.25,102.25,8,1048
17.25,102.25,1,1270
17.25,102.25,4,861
17.25,102.25,7,822
17.25,102.25,3,560
17.25,102.25,19,662
17.25,102.25,14,739
17.25,102.25,22,615
17.25,102.25,5,1175
17.25,102.25,2,868
17.25,102.25,17,964
17.25,102.25,13,839
17.25,102.25,16,641
17.25,102.25,11,462
17.25,102.25,0,572
17.25,102.25,23,492
17.25,102.25,21,455
15.25,103.25,14,764
15.25,103.25,16,666
15.25,103.25,18,995
15.25,103.25,23,665
15.25,103.25,17,1006
15.25,103.25,6,1258
15.25,103.25,13,871
15.25,103.25,7,1106
15.25,103.25,0,591
15.25,103.25,8,703
15.25,103.25,2,1186
15.25,103.25,1,929
15.25,103.25,21,438
15.25,103.25,4,1103
15.25,103.25,5,887
15.25,103.25,3,634
15.25,103.25,15,643
15.25,103.25,11,665
15.25,103.25,12,692
15.25,103.25,19,677
15.25,103.25,9,883
15.25,103.25,22,440
15.25,103.25,20,619
15.25,103.25,10,583
17.5,102.75,17,1613
17.5,102.75,23,2858
17.5,102.75,18,3230
17.5,102.75,15,1913
17.5,102.75,4,2774
17.5,102.75,11,3076
17.5,102.75,7,3589
17.5,102.75,9,2896
17.5,102.75,21,2050
17.5,102.75,16,2195
17.5,102.75,5,1739
17.5,102.75,20,2742
17.5,102.75,10,3667
17.5,102.75,13,2582
17.5,102.75,12,2506
17.5,102.75,8,2676
17.5,102.75,1,2421
17.5,102.75,14,1979
17.5,102.75,2,4502
17.5,102.75,3,2651
17.5,102.75,0,1908
17.5,102.75,6,2443
17.5,102.75,19,3284
17.5,102.75,22,1390
16.25,99.75,23,929
16.25,99.75,19,1479
16.25,99.75,2,1871
16.25,99.75,4,1218
16.25,99.75,15,1134
16.25,99.75,18,1407
16.25,99.75,9,1612
16.25,99.75,0,838
16.25,99.75,5,1536
16.25,99.75,1,599
16.25,99.75,11,1248
16.25,99.75,8,1729
16.25,99.75,7,1817
16.25,99.75,20,740
16.25,99.75,13,997
16.25,99.75,6,1041
16.25,99.75,16,910
16.25,99.75,3,1186
16.25,99.75,12,975
16.25,99.75,14,1078
16.25,99.75,22,585
16.25,99.75,21,891
16.25,99.75,17,832
16.25,99.75,10,787
14.5,100.0,23,78
14.5,100.0,6,26
14.5,100.0,5,37
14.5,100.0,7,47
14.5,100.0,19,106
14.5,100.0,17,48
14.5,100.0,9,25
14.5,100.0,14,70
14.5,100.0,12,47
14.5,100.0,8,49
14.5,100.0,13,94
14.5,100.0,4,38
14.5,100.0,0,47
14.5,100.0,18,98
14.5,100.0,11,28
14.5,100.0,22,64
14.5,100.0,21,55
14.5,100.0,16,56
14.5,100.0,15,66
14.5,100.0,1,26
14.5,100.0,3,19
14.5,100.0,20,59
14.5,100.0,2,56
14.5,100.0,10,14
15.25,100.0,22,58
15.25,100.0,3,21
15.25,100.0,16,40
15.25,100.0,13,76
15.25,100.0,0,26
15.25,100.0,12,40
15.25,100.0,8,33
15.25,100.0,14,76
15.25,100.0,18,75
15.25,100.0,1,23
15.25,100.0,23,47
15.25,100.0,10,19
15.25,100.0,17,53
15.25,100.0,7,19
15.25,100.0,20,59
15.25,100.0,21,57
15.25,100.0,11,14
15.25,100.0,15,50
15.25,100.0,19,55
15.25,100.0,5,39
15.25,100.0,4,23
15.25,100.0,2,34
15.25,100.0,9,16
15.25,100.0,6,7
15.0,102.25,4,216
15.0,102.25,13,256
15.0,102.25,14,189
15.0,102.25,20,130
15.0,102.25,19,187
15.0,102.25,10,159
15.0,102.25,11,188
15.0,102.25,23,112
15.0,102.25,2,224
15.0,102.25,18,215
15.0,102.25,0,119
15.0,102.25,8,303
15.0,102.25,7,260
15.0,102.25,6,175
15.0,102.25,5,216
15.0,102.25,12,397
15.0,102.25,15,220
15.0,102.25,22,81
15.0,102.25,17,126
15.0,102.25,16,171
15.0,102.25,3,233
15.0,102.25,9,245
15.0,102.25,21,136
15.0,102.25,1,128
14.25,100.0,4,309
