lat,lon,country,ping_count
-42.9055,147.3038,AU,133
-42.8938,147.3192,AU,185
-42.8836,147.4062,AU,435
-42.8772,147.331,AU,485
-42.86,147.3162,AU,124
-38.2147,145.0372,AU,5112
-38.1801,144.3436,AU,5476
-38.1701,145.1647,AU,10330
-38.1429,145.1177,AU,41413
-38.1131,145.2775,AU,20562
-37.9829,145.0358,AU,183
-37.9482,145.1553,AU,20103
-37.8964,145.0799,AU,192
-37.8846,145.1373,AU,769
-37.8805,145.0414,AU,169
-37.8766,145.1623,AU,42158
-37.8647,145.0279,AU,325
-37.8579,145.0233,AU,285
-37.8481,144.9914,AU,638
-37.8392,144.944,AU,148
-37.8391,145.0197,AU,128
-37.8374,145.1923,AU,446
-37.834,144.9832,AU,728
-37.8335,145.0012,AU,220
-37.8207,145.0408,AU,335
-37.8201,144.9636,AU,1059
-37.8201,145.0528,AU,297
-37.8159,144.9669,AU,6834
-37.808,144.8907,AU,1988
-37.8071,144.9512,AU,230
-37.7999,145.2842,AU,5122
-37.7986,145.0031,AU,332
-37.7953,144.9767,AU,391
-37.7886,145.1513,AU,10857
-37.7833,145.2438,AU,1124
-37.7673,145.0043,AU,209
-37.7668,145.1216,AU,5570
-37.7666,145.0434,AU,2105
-37.7491,145.02,AU,539
-37.6972,145.0611,AU,2144
-35.7061,150.1795,AU,278
-35.4411,149.1073,AU,158
-35.3778,149.0987,AU,122
-35.353,149.0137,AU,591
-35.3427,149.1022,AU,140
-35.2162,149.1022,AU,165
-35.2077,149.0432,AU,198
-35.1662,149.0988,AU,187
-34.989,138.6003,AU,466
-34.9497,138.6038,AU,1553
-34.9479,138.6352,AU,1483
-34.9405,138.5916,AU,1377
-34.9282,138.5999,AU,7898
-34.9276,138.6458,AU,173
-34.9233,138.5713,AU,227
-34.9097,138.6374,AU,165
-34.8966,138.573,AU,339
-34.8843,138.5942,AU,570
-34.8332,138.6809,AU,376
-34.8278,138.6235,AU,187
-34.7975,138.6009,AU,221
-34.7579,138.6066,AU,1391
-34.4728,150.8016,AU,207
-34.4268,150.8941,AU,659
-34.3642,150.9135,AU,228
-34.1348,151.0041,AU,726
-34.0543,150.6921,AU,153
-34.0523,151.1205,AU,332
-34.033,151.0891,AU,223
-33.9913,151.1022,AU,502
-33.9829,151.0365,AU,2072
-33.9796,151.0887,AU,844
-33.9786,151.0713,AU,548
-33.973,151.2375,AU,2094
-33.9536,150.9935,AU,167
-33.9332,151.0732,AU,614
-33.9328,150.8974,AU,1111
-33.9276,151.1411,AU,2580
-33.9074,151.1561,AU,188
-33.9013,151.0229,AU,1087
-33.901,151.1895,AU,588
-33.8978,151.1899,AU,164
-33.8932,151.0161,AU,116
-33.8913,151.2383,AU,171
-33.8906,151.0463,AU,1467
-33.8829,151.0973,AU,243
-33.8804,151.1866,AU,142
-33.8763,150.9121,AU,574
-33.875,151.1608,AU,336
-33.8681,151.1967,AU,188
-33.8676,151.2667,AU,1089
-33.8672,151.1997,AU,62642
-33.8653,151.1021,AU,232
-33.8639,150.9606,AU,701
-33.8582,151.127,AU,720
-33.8537,151.1852,AU,701
-33.8512,151.1503,AU,327
-33.8403,151.2368,AU,797
-33.8325,150.9795,AU,776
-33.8322,151.0164,AU,556
-33.8308,151.2267,AU,144
